,performance_score,hourly_integrated_MW,mileage_ratio,Regulation_Market_Clearing_Price(RMCP),Reg_Clearing_Price_Credit
2017-01-28 04:00:00,"(0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999997)",0.10591201867306593,5.2291730369385405,"(6.26, 3.9900000000000007, 2.27)","(1.6797882127012784, 0.4225889545055331, 1.2571992581957454)"
2017-01-28 05:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12294345362886087,5.760844875542535,"(10.31, 8.519999999999998, 1.79)","(2.315260339944485, 1.0474782249178942, 1.2677821150265907)"
2017-01-28 06:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.07389751299271116,9.22459705520549,"(6.860000000000001, 5.16, 1.7)","(1.5401582942996632, 0.38131116704238954, 1.1588471272572736)"
2017-01-28 07:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.08682238880591114,5.311012061336491,"(7.67, 5.76, 1.91)","(1.3808261399337272, 0.5000969595220481, 0.8807291804116791)"
2017-01-28 08:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.0887887582443441,8.998617366252267,"(9.83, 8.55, 1.28)","(1.7818332421770189, 0.7591438829891419, 1.022689359187877)"
2017-01-28 09:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11817338530295549,4.541059361812374,"(5.1000000000000005, 3.26, 1.8400000000000003)","(1.372648774158201, 0.38524523608763483, 0.9874035380705661)"
2017-01-28 10:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09481685097858952,5.761119515342153,"(6.0, 6.0, 0.0)","(0.5689011058715371, 0.5689011058715371, 0.0)"
2017-01-28 11:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.08945168132199256,43.78526459350098,"(5.030000000000001, 4.83, 0.2)","(1.2153847277886187, 0.432051620785224, 0.7833331070033948)"
2017-01-28 12:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.0966026715123177,4.002227054297724,"(4.740000000000001, 2.32, 2.42)","(1.159752695483139, 0.224118197908577, 0.935634497574562)"
2017-01-28 13:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11898816488856276,6.563036378305156,"(4.65, 3.38, 1.27)","(1.3939530388576322, 0.4021799973233421, 0.9917730415342901)"
2017-01-28 14:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11340775461746493,7.793399505850219,"(5.8, 4.52, 1.28)","(1.6439079325289687, 0.5126030508709414, 1.1313048816580273)"
2017-01-28 15:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1621713750097612,6.25013685745953,"(5.91, 4.740000000000001, 1.17)","(1.9545964647091458, 0.7686923175462681, 1.1859041471628777)"
2017-01-28 16:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1222905275603708,5.960631973819055,"(8.0, 7.51, 0.49)","(1.2755769880274423, 0.9184018619783846, 0.35717512604905777)"
2017-01-28 17:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999996)",0.14730306311858707,2.602270768979801,"(5.5600000000000005, 2.92, 2.64)","(1.4420962263898445, 0.4301249443062741, 1.0119712820835702)"
2017-01-28 18:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.15504754599145334,6.452816481616009,"(4.3100000000000005, 4.009999999999999, 0.3)","(0.9218886674880575, 0.6217406594257276, 0.30014800806232983)"
2017-01-28 19:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12144557058996103,7.987910758911888,"(3.57, 2.08, 1.49)","(1.6980503929343556, 0.2526067868271189, 1.4454436061072367)"
2017-01-28 20:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09302108985635979,7.0731030715902445,"(6.27, 4.780000000000001, 1.49)","(1.4249829665280787, 0.44464080951339985, 0.9803421570146788)"
2017-01-28 21:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.07331414515617046,6.773880795222799,"(6.67, 4.86, 1.81)","(1.2551912620627113, 0.3563067454589884, 0.8988845166037228)"
2017-01-28 22:00:00,"(0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999997)",0.06868981267411427,8.717704890515657,"(6.560000000000001, 5.42, 1.1400000000000001)","(1.0549507527943118, 0.37229878469369926, 0.6826519681006126)"
2017-01-28 23:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.07964614475651884,6.291404373714467,"(7.97, 7.52, 0.45)","(0.8244277551308177, 0.5989390085690215, 0.22548874656179613)"
2017-01-29 00:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.13748706953189815,4.040805492930259,"(4.9, 4.05, 0.85)","(1.0290473615098592, 0.5568226316041874, 0.47222472990567166)"
2017-01-29 01:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.13053015902180837,4.9049275118890305,"(4.93, 4.29, 0.64)","(0.9697286017986413, 0.5599743822035578, 0.40975421959508346)"
2017-01-29 02:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12030296908439957,5.168402510061631,"(4.62, 4.030000000000001, 0.5899999999999999)","(0.8516677241664998, 0.4848209654101303, 0.3668467587563696)"
2017-01-29 03:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09606469570984097,5.54983456411904,"(6.26, 6.19, 0.07000000000000002)","(0.6319604882488593, 0.5946404664439155, 0.037320021804943745)"
