Preliminary Synchronized Reserve Summary 
Month:,"March, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:13:56 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
03/04/2017 14,03/04/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74952.667937,768.403896207,617.442360,9166.52,.00,1307.750029255,463.552589428,.00,.000,517.350,.000,.000,.000,.00,1307.750029255
03/04/2017 15,03/04/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73331.719011,656.164865497,802.899484,7657.35,.00,1151.700003526,605.041188951,.00,.000,361.300,.000,.000,.000,.00,1151.700003526
03/04/2017 16,03/04/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72545.039950,661.771956903,963.840563,7115.88,516.77,1152.175104801,723.104359870,.00,.000,306.108,55.200,.000,.000,.00,1152.175009584
03/04/2017 17,03/04/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72907.500973,648.410063355,961.585125,6106.79,1527.18,1152.175072050,675.766602172,.00,.000,195.708,165.600,.000,.000,.00,1152.175011344
03/04/2017 18,03/04/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75281.751044,658.268085471,809.291168,7668.38,.00,1149.999957635,546.914817368,.00,.000,361.300,.000,.000,.000,.00,1149.999957635
03/04/2017 19,03/05/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),7.44,79868.930046,574.754758422,376.133374,3474.86,.00,1045.843122112,291.874966807,.00,.000,541.401,.000,.000,.000,.00,1045.842990538
03/04/2017 20,03/05/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.88,82386.595923,711.977228595,278.110216,8650.09,.00,1243.766998650,188.390139104,.00,.000,536.158,.000,.000,.000,.00,1243.766980037
03/04/2017 21,03/05/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,82094.681018,711.593274847,310.342231,9058.48,327.87,1251.489018885,223.517524984,.00,.000,518.075,28.914,.000,.000,.00,1251.489018885
03/04/2017 22,03/05/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,80990.964939,705.215595079,347.829485,8999.72,.00,1221.600119154,222.868479971,.00,.000,517.200,.000,.000,.000,.00,1221.599982284
03/04/2017 23,03/05/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),8.14,78731.434048,690.806963612,413.083938,2379.08,62.84,1187.100077125,253.001272554,.00,.000,517.200,.000,.000,.000,.00,1187.099975374
